time_years,value,truth
0.0,11.495686740430434,10.000000000000002
0.08333333333333333,10.437176355882526,10.382119970818254
0.16666666666666666,10.6644633794726,10.77884150884632
0.25,12.106352374965093,11.190722569127805
0.3333333333333333,11.856723509481723,11.618342427282833
0.4166666666666667,12.507716009871862,12.06230249420981
0.5,11.882379305591165,12.523227161918648
0.5833333333333334,13.751579255343538,13.001764681684916
0.6666666666666666,12.314570139734027,13.498588075760031
0.75,13.797837398031238,14.014396083919733
0.8333333333333334,15.73932414708321,14.549914146182017
0.9166666666666666,16.095819091298136,15.10589542307673
1.0,17.65033372286447,15.683121854901694
1.0833333333333333,16.71050559835405,16.2824052614551
1.1666666666666667,16.59101356371002,16.904588483790917
1.25,16.822671104614614,17.55054656960299
1.3333333333333333,16.495184505536912,18.221188003905095
1.4166666666666667,19.46322340601502,18.917455986737703
1.5,18.338756255165173,19.640329759698474
1.5833333333333333,21.959813544516994,20.390825983162156
1.6666666666666667,26.275741125956074,21.17000016612675
1.75,20.682470307737564,21.978948150697025
1.8333333333333333,24.62169547167708,22.818807653293046
1.9166666666666667,25.590918367382564,23.6907598647514
2.0,23.42289753745775,24.5960311115695
2.0833333333333335,27.782421683774153,27.296316317473813
2.1666666666666665,27.34388555790607,30.293053424912586
2.25,34.2397949086293,33.618788525584314
2.3333333333333335,37.78810611195018,37.3096407970046
2.4166666666666665,47.94899927391282,41.40569477517534
2.5,46.72701686557368,45.95143569306689
2.5833333333333335,51.99123430386665,50.99623261291166
2.6666666666666665,57.69544911990747,56.59487459937128
2.75,64.11828237261587,62.80816575669162
2.8333333333333335,65.24554874390704,69.70358559225222
2.9166666666666665,72.985501766918,77.35602187839382
3.0,80.4343769043324,85.848583971779
3.0833333333333335,90.08739800458561,95.27350542334551
3.1666666666666665,96.63208724949787,105.73314568165895
3.25,115.83750372613564,117.34110176867216
3.3333333333333335,137.21548922581377,130.2234420012561
3.4166666666666665,161.4771388572647,144.5200751573478
3.5,156.28629845725885,160.3862699565568
3.5833333333333335,191.036004237272,177.99434135756204
3.6666666666666665,206.51736185443121,197.5355219863516
3.75,193.40848567538262,219.22203901996477
3.8333333333333335,240.31896976413248,243.2894190817562
3.9166666666666665,305.84131836096924,269.999046180516
