time_years,truth,observed,regime
0.0,1.0,0.995160547096131,accelerating
0.08333333333333333,1.0156419070443006,1.03049191509584,accelerating
0.16666666666666666,1.0326035520157903,1.052994048553082,accelerating
0.25,1.0509426254846563,1.0170020165202884,accelerating
0.3333333333333333,1.070722156386281,1.0828001443766764,accelerating
0.4166666666666667,1.092010872017718,1.0616205755917234,accelerating
0.5,1.114883594599782,1.0729787298041535,accelerating
0.5833333333333334,1.1394216775979087,1.1081986582913215,accelerating
0.6666666666666666,1.165713485349856,1.0467722413791098,accelerating
0.75,1.1938549199402082,1.2274113371771178,accelerating
0.8333333333333334,1.2239499996949577,1.1748099761169444,accelerating
0.9166666666666666,1.2561114941492137,1.3107587025705023,accelerating
1.0,1.2904616208728898,1.4223594031847608,accelerating
1.0833333333333333,1.3271328101293638,1.3523301449665626,accelerating
1.1666666666666667,1.3662685439976234,1.370797164224248,accelerating
1.25,1.4080242773172196,1.3116270105907517,accelerating
1.3333333333333333,1.4525684486263692,1.5446216929965872,accelerating
1.4166666666666667,1.5000835901667722,1.5051041156577525,accelerating
1.5,1.5507675470354307,1.4816614713356575,accelerating
1.5833333333333333,1.6048348166866708,1.59438712788445,accelerating
1.6666666666666667,1.6625180212410022,1.6164494406492438,accelerating
1.75,1.7240695264575654,1.7328885439980624,accelerating
1.8333333333333333,1.7897632227919604,1.7747627970776136,accelerating
1.9166666666666667,1.859896485711835,1.8187641648261599,accelerating
2.0,1.9347923344020315,1.8704291831896602,accelerating
2.0833333333333335,2.014801810185734,2.0211134791919427,accelerating
2.1666666666666665,2.1003065984477027,2.1189851486859848,accelerating
2.25,2.1917219206042065,2.192712239667886,accelerating
2.3333333333333335,2.289499725759861,2.2402837151886708,accelerating
2.4166666666666665,2.3941322151677755,2.5506160007204954,accelerating
2.5,2.506155736515423,2.4614716651967825,accelerating
2.5833333333333335,2.626155089450415,2.622688958937618,accelerating
2.6666666666666665,2.7547682887015656,2.690415056727996,accelerating
2.75,2.8926918367133547,2.942504495334648,accelerating
2.8333333333333335,3.0406865639785234,3.2227605154333308,accelerating
2.9166666666666665,3.199584102317529,3.4219472114730434,accelerating
3.0,3.3702940643216066,3.367465439167712,accelerating
3.0833333333333335,3.5538120111695153,3.5677524582298497,accelerating
3.1666666666666665,3.7512283011855585,3.71885795694075,accelerating
3.25,3.96373792298577,3.9562145321729485,accelerating
3.3333333333333335,4.192651430041117,4.413943393444347,accelerating
3.4166666666666665,4.439407108177238,4.514226290965474,accelerating
3.5,4.70558452416538,4.576555930322964,accelerating
3.5833333333333335,4.99291962240857,4.9831531726576666,accelerating
3.6666666666666665,5.303321558099505,5.365512103038875,accelerating
3.75,5.638891479475802,5.417401339232199,accelerating
3.8333333333333335,6.001943499329519,6.333224428417849,accelerating
3.9166666666666665,6.395028127206518,6.57132462192873,accelerating
