time_years,truth,observed,regime
0.0,1.0,1.03277676684343,exponential
0.08333333333333333,1.0373471808077517,0.9940977929531936,exponential
0.16666666666666666,1.0760891735297902,1.0537810355935537,exponential
0.25,1.1162780704588713,1.0604648603294837,exponential
0.3333333333333333,1.1579679093880269,1.0997865499937869,exponential
0.4166666666666667,1.2012147462695157,1.1231109672016184,exponential
0.5,1.2460767305873808,1.1816466441886786,exponential
0.5833333333333334,1.2926141835449598,1.3487271524809399,exponential
0.6666666666666666,1.3408896791724776,1.3390372788997622,exponential
0.75,1.3909681284637803,1.4885834437049819,exponential
0.8333333333333334,1.4429168666553371,1.3517655186085844,exponential
0.9166666666666666,1.4968057437648683,1.544992060406896,exponential
1.0,1.552707218511336,1.559917226093649,exponential
1.0833333333333333,1.61069645574258,1.542117038470731,exponential
1.1666666666666667,1.670851427501603,1.7296838501371548,exponential
1.25,1.7332530178673953,1.8850891988314216,exponential
1.3333333333333333,1.79798513171127,1.943786790431333,exponential
1.4166666666666667,1.86513480751494,1.8007841823222048,exponential
1.5,1.9347923344020317,1.8841385156807493,exponential
1.5833333333333333,2.007051373540396,1.9709045425983789,exponential
1.6666666666666667,2.0820090840784555,2.2548151914442385,exponential
1.75,2.159766253784915,2.1247260767528373,exponential
1.8333333333333333,2.2404274345675006,2.2522941285533333,exponential
1.9166666666666667,2.3241010830529403,2.233096135619016,exponential
2.0,2.4108997064172097,2.229128791896279,exponential
2.0833333333333335,2.500940013662129,2.488936288115418,exponential
2.1666666666666665,2.594343072541709,2.7187837715319936,exponential
2.25,2.691234472349262,2.5399992611195543,exponential
2.3333333333333335,2.7917444927841446,2.741573386623882,exponential
2.4166666666666665,2.896008279125198,3.0167855719194274,exponential
2.5,3.0041660239464334,2.9376344938762897,exponential
2.5833333333333335,3.1163631556192652,3.19857162710818,exponential
2.6666666666666665,3.232750533854793,3.4931877647342082,exponential
2.75,3.3534846525490236,3.1866544664595797,exponential
2.8333333333333335,3.478727850203793,3.324185675297742,exponential
2.9166666666666665,3.608648528206314,3.9233911993527815,exponential
3.0,3.7434213772608627,3.595927063168544,exponential
3.0833333333333335,3.8832276122770266,3.9710731304287763,exponential
3.1666666666666665,4.028255216030391,4.232514865509557,exponential
3.25,4.178699191923246,3.9747361379452926,exponential
3.3333333333333335,4.334761826185209,4.298241116971746,exponential
3.4166666666666665,4.496652959866287,4.31437222293781,exponential
3.5,4.664590270988126,4.6561866546821165,exponential
3.5833333333333335,4.838799567232798,4.555066671356122,exponential
3.6666666666666665,5.019515089562712,4.685182638141066,exponential
3.75,5.206979827179849,5.340926262801597,exponential
3.8333333333333335,5.40144584424785,5.254260451936992,exponential
3.9166666666666665,5.6031746188162534,5.266045797737511,exponential
