time_years,truth,observed,regime
0.0,1.0,1.02535789894126,linear
0.08333333333333333,1.0483333333333333,0.9980308812076673,linear
0.16666666666666666,1.0966666666666667,1.0435154623036889,linear
0.25,1.145,1.2135221702532306,linear
0.3333333333333333,1.1933333333333334,1.2513402013169022,linear
0.4166666666666667,1.2416666666666667,1.2458837396388185,linear
0.5,1.29,1.300028558329742,linear
0.5833333333333334,1.3383333333333334,1.3977675286872084,linear
0.6666666666666666,1.3866666666666667,1.456300849485635,linear
0.75,1.435,1.4655987421190857,linear
0.8333333333333334,1.4833333333333334,1.488102787714056,linear
0.9166666666666666,1.5316666666666667,1.5334448064919264,linear
1.0,1.58,1.6009364620698279,linear
1.0833333333333333,1.6283333333333334,1.5821180320920127,linear
1.1666666666666667,1.6766666666666667,1.8529786002312179,linear
1.25,1.725,1.7479030813556986,linear
1.3333333333333333,1.7733333333333332,1.8517749953168148,linear
1.4166666666666667,1.8216666666666668,1.7828602493080536,linear
1.5,1.8699999999999999,1.9951849093708687,linear
1.5833333333333333,1.9183333333333332,1.987815342511663,linear
1.6666666666666667,1.9666666666666668,1.820510730062781,linear
1.75,2.0149999999999997,1.9810872426522947,linear
1.8333333333333333,2.0633333333333335,2.0680730912423098,linear
1.9166666666666667,2.1116666666666664,2.0729774802931247,linear
2.0,2.16,2.0893627210803087,linear
2.0833333333333335,2.208333333333333,2.0860917742485507,linear
2.1666666666666665,2.256666666666667,2.246087341432631,linear
2.25,2.3049999999999997,2.3992255011412156,linear
2.3333333333333335,2.3533333333333335,2.3429117201708345,linear
2.4166666666666665,2.4016666666666664,2.469831740372586,linear
2.5,2.45,2.619242652883229,linear
2.5833333333333335,2.498333333333333,2.3741446888297695,linear
2.6666666666666665,2.5466666666666664,2.6071998514803028,linear
2.75,2.5949999999999998,2.722136143004538,linear
2.8333333333333335,2.6433333333333335,2.8298173030121334,linear
2.9166666666666665,2.6916666666666664,2.7146051012650165,linear
3.0,2.7399999999999998,2.7667991736481605,linear
3.0833333333333335,2.788333333333333,2.8141264747074612,linear
3.1666666666666665,2.8366666666666664,2.8291424446280344,linear
3.25,2.885,2.736898561128097,linear
3.3333333333333335,2.9333333333333336,2.779731564747578,linear
3.4166666666666665,2.9816666666666665,2.8518159081335,linear
3.5,3.03,3.003895644165638,linear
3.5833333333333335,3.078333333333333,3.208970754187485,linear
3.6666666666666665,3.1266666666666665,3.096611283619533,linear
3.75,3.175,3.2024862676137453,linear
3.8333333333333335,3.223333333333333,3.2241924084234697,linear
3.9166666666666665,3.2716666666666665,3.320288923900538,linear
